Address,Review Number,Sentiment Score,lat,long
"Under Armour , 1 Factory Shops Blvd., Gaffney",31.0,0.38103750000000003,35.0819782,-81.7121115
"Under Armour , 1 Mills Circle, Ontario",86.0,0.6314571428571428,34.073005,-117.55169049999998
"Under Armour , 1 Premium Outlets Blvd., Wrentham",55.0,0.3985000000000001,42.036064,-71.35252760000002
"Under Armour , 100 Citadel Drive, Commerce",8.0,0.8572,34.007245700000006,-118.1509367
"Under Armour , 100 S Premium Outlets Drive, Blackwood",50.0,0.37905555555555565,39.784828899999994,-75.05286290000002
"Under Armour , 1000 Premium Outlets Drive, Tannersville",37.0,0.4715500000000001,41.0479573,-75.31254590000002
"Under Armour , 1000 Tanger Dr., Locust Grove",68.0,0.4811111111111112,33.34785209999998,-84.12302210000001
"Under Armour , 1001 Arney Rd., Woodburn",69.0,0.5709777777777778,45.156622399999975,-122.87765949999996
"Under Armour , 101 West Avenida Vista Hermosa, San Clemente",47.0,0.3933428571428571,33.4399709,-117.62883719999998
"Under Armour , 10110 Factory Shops Blvd., Gulfport",34.0,0.6011583333333334,30.427414399999993,-89.1000034
"Under Armour , 1025 Industrial Park Drive, Smithfield",33.0,0.4297000000000001,35.510769999999994,-78.3126281
"Under Armour , 10250 Santa Monica BLVD, Los Angeles",365.0,0.4106297872340426,34.03546200000003,-118.08385590000007
"Under Armour , 10600 Quil Ceda Blvd., Tulalip",46.0,0.50286875,48.09355989999998,-122.18777640000002
"Under Armour , 10676 Emerald Cost Parkway West, Destin",86.0,0.6069687500000001,30.37993129999998,-86.35133950000001
"Under Armour , 10801 Corkscrew Rd., Estero",38.0,0.4003416666666666,26.435330299999993,-81.77626690000001
"Under Armour , 10843 Kings Road, Myrtle Beach",70.0,0.37893200000000005,33.784494,-78.77426009999999
"Under Armour , 1100 Cornerstone Blvd., Daytona Beach",88.0,0.5906535714285713,29.2135217,-81.0986513
"Under Armour , 11201 Bass Pro Parkway, Little Rock",52.0,0.45167500000000005,34.6610791,-92.40817159999999
"Under Armour , 11211 120th Ave., Pleasant Prairie",34.0,0.50297,42.51757579999999,-87.94920750000001
"Under Armour , 1155 Buck Creek Road, Simpsonville",53.0,0.5980411764705883,38.20623379999999,-85.35203789999998
"Under Armour , 120 Laconia Rd., Tilton",23.0,0.47937142857142856,43.459143299999994,-71.55964499999999
"Under Armour , 1201 Woodward Ave., Detroit",49.0,0.32389999999999997,42.3329516,-83.0482618
"Under Armour , 12150  Beyer Road, Birch Run",115.0,0.5004407407407409,43.247478900000004,-83.77981930000003
"Under Armour , 125 Westchester Ave., White Plains",16.0,0.6249,41.031501399999996,-73.75858149999999
"Under Armour , 1254 Fording Island Road, Bluffton",58.0,0.4185882352941177,32.245479100000004,-80.83384309999998
"Under Armour , 12741 Ocean Gateway, Ocean City",46.0,0.58051875,38.337997999999985,-75.10647450000002
"Under Armour , 12801 W. Sunrise Blvd., Sunrise",132.0,0.5716257142857142,26.150877700000017,-80.32167190000003
"Under Armour , 1300 Stanley K Tanger Drive, Lancaster",139.0,0.5620784313725492,40.02384409999996,-76.2198862
"Under Armour , 13000 Folsom Blvd., Folsom",55.0,0.6927666666666668,38.64408820000001,-121.18770709999995
"Under Armour , 1303 Lum Rd., Centralia",69.0,0.36437297297297294,46.730709400000016,-122.97798090000008
"Under Armour , 13801 Grant Street, Thornton",39.0,0.3120714285714286,39.9891991,-104.9828304
"Under Armour , 1444 U.S. 9, Lake George",41.0,0.48152,43.365681200000004,-73.69831790000002
"Under Armour , 14500 W. Colfax Ave, Lakewood",5.0,0.3585,39.730932,-105.161597
"Under Armour , 1500 SE East Devils Lake Rd., Lincoln City",30.0,0.4779285714285715,44.958249099999996,-124.01048679999998
"Under Armour , 1513 Tanger Mall Dr., Riverhead",32.0,0.6134875,40.91924799999999,-72.7114398
"Under Armour , 152 The Arches Circle, Deer Park",46.0,0.3832769230769231,40.765006899999996,-73.3042497
"Under Armour , 15729 Apopka Vineland Rd., Orlando",41.0,0.4936238095238097,28.34871099999999,-81.48900589999997
"Under Armour , 1600 Premium Outlets Blvd, Norfolk",90.0,0.5789914285714286,36.88241599999999,-76.1993279
"Under Armour , 1600 Water Street, Laredo",116.0,0.4314875000000001,27.50183249999999,-99.51198889999996
"Under Armour , 1612 Pleasonton Rd., Fort Bliss",81.0,0.507412,31.817713499999996,-106.4281186
"Under Armour , 1645 Parkway, Sevierville",175.0,0.5098702127659575,35.834041800000016,-83.5699135
"Under Armour , 1650 Premium Outlets Blvd., Aurora",90.0,0.5789914285714286,36.88241599999999,-76.1993279
"Under Armour , 1668 E. Buena Vista Drive, Lake Buena Vista",42.0,0.56228,28.370449,-81.5163103
"Under Armour , 1791 Palm Beach Lakes Blvd, West Palm Beach",58.0,0.54473,26.725757999999995,-80.08783100000002
"Under Armour , 18 Light Cap Road, Limerick",28.0,0.40715,40.2366156,-75.5705805
"Under Armour , 1843 Village West Pkwy, Kansas City",53.0,0.48430000000000006,39.12669920000001,-94.82598040000002
"Under Armour , 185 Greenwich St., Space Ll4302, New York",60.0,0.2933333333333333,40.711566299999994,-74.0114261
"Under Armour , 185 Niagara Lane, Central Valley",94.0,0.39856296296296306,41.317207000000025,-74.12939920000004
"Under Armour , 18517 Outlet Blvd., Chesterfield",100.0,0.4326695652173913,38.67700360000001,-90.66050739999997
"Under Armour , 1863 Gettysburg Village Drive, Gettysburg",36.0,0.5574666666666667,39.794107000000004,-77.201128
"Under Armour , 1900 Military Road, Niagara",66.0,0.541,43.09894329999998,-78.9778717
"Under Armour , 1911 Leesburg Grove City Rd., Grove City",48.0,0.41861875,41.138521100000006,-80.15690059999999
"Under Armour , 2 Common Court, North Conway",9.0,0.6249,44.0233919,-71.11337059999998
"Under Armour , 20 City Blvd. West, Orange",96.0,0.5461933333333334,33.7826672,-117.89292849999995
"Under Armour , 20-A Killingworth Turnpike, Clinton",57.0,0.6124764705882353,41.291489700000014,-72.5328717
"Under Armour , 200 Bass Pro Drive, Pearl",38.0,0.5079153846153847,32.27512589999999,-90.15292790000002
"Under Armour , 200 Tanger Outlet Blvd., Pooler",87.0,0.4992583333333334,32.134694599999996,-81.24321710000002
"Under Armour , 20350 Summerlin Rd, Fort Myers",43.0,0.44488333333333335,26.4948697,-81.97457510000001
"Under Armour , 210 Gasser Rd, Baraboo",49.0,0.38916000000000006,43.44601699999999,-89.781345
"Under Armour , 21209 Nebraska Crossing Dr, Gretna",183.0,0.43541636363636366,41.099212399999956,-96.25049750000008
"Under Armour , 2200 Tanger Blvd., Washington",74.0,0.525205,38.79539550000001,-77.00179150000002
"Under Armour , 2244 Grand Cypress Drive, Lutz",127.0,0.5762928571428572,28.190350800000022,-82.3910856000001
"Under Armour , 22705 Clarksburg Road, Clarksburg",36.0,0.6681285714285714,39.2281865,-77.28576970000002
"Under Armour , 240 West Market W240, Bloomington",73.0,0.1939,44.85433080000001,-93.24469580000002
"Under Armour , 241 Fort Evans Road N.E., Leesburg",41.0,0.4434666666666667,39.1068098,-77.53833699999998
"Under Armour , 2410 Tanger Blvd., Gonzales",31.0,0.1842909090909091,30.212699900000004,-90.95209220000002
"Under Armour , 246-O Rainbow Dr., Silverthorne",31.0,0.5243928571428571,39.6306684,-106.07017180000001
"Under Armour , 25 North Michigan Ave, Atlantic City",43.0,0.20515,39.35996790000001,-74.4358463
"Under Armour , 250 East Palm Drive, Florida City",54.0,0.5088172413793103,25.451716300000008,-80.4734427
"Under Armour , 2575 Annapolis Mall, Annapolis",24.0,0.3527,38.9905571,-76.54570840000001
"Under Armour , 2601 S. McKenzie St, Foley",67.0,0.418316,30.374222000000003,-87.67826140000005
"Under Armour , 2700 Potomac Mills Circle, Woodbridge",32.0,0.70775,38.643362100000004,-77.2961829
"Under Armour , 2700 State Road 16, St. Augustine",38.0,0.46044615384615384,29.924306100000006,-81.41753179999999
"Under Armour , 29300 Hempstead Road, Houston",50.0,0.43004666666666674,29.996689,-95.75733749999998
"Under Armour , 2950 West Interstate 20, Grand Prairie",30.0,0.5782933333333334,32.6786512,-97.05454959999999
"Under Armour , 300 Tanger Blvd., Branson",62.0,0.4353285714285714,36.644353200000005,-93.2639536
"Under Armour , 3000 Grapevine Mills Pkwy, Grapevine",61.0,0.6378588235294117,32.966185399999986,-97.04263339999997
"Under Armour , 3001 S. Washburn Street, Oshkosh",39.0,0.3000538461538461,43.98341349999999,-88.58595
"Under Armour , 305 Boardwalk Blvd., Bossier City",51.0,0.5403941176470588,32.51784199999999,-93.74017550000002
"Under Armour , 3190 Paragon Outlets Drive, Livermore",75.0,0.5499653846153847,37.69858799999998,-121.84299060000002
"Under Armour , 320 Premium Outlets Blvd, Lee",46.0,0.46127500000000005,39.606875,-77.73372800000001
"Under Armour , 3200 Las Vegas Blvd. S., Las Vegas",42.0,0.5951666666666666,36.1273449,-115.17309840000004
"Under Armour , 321 Nut Tree Road, Vacaville",48.0,0.539338888888889,38.366729699999986,-121.95535190000004
"Under Armour , 336 US Route 1, Kittery",39.0,0.5688000000000001,43.11396539999999,-70.7303213
"Under Armour , 3393 Peachtree Road, Atlanta",5.0,0.0,33.846515600000004,-84.3626785
"Under Armour , 350 84th Street SW, Byron Center",94.0,0.4867269230769231,42.81138250000001,-85.673049
