,Unnamed: 0,lat,lon,name,admin1,admin2,cc,latlong
0,0,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2461814', '55.3014386')"
1,1,25.0657,55.17128,Dubai,Dubai,,AE,"('25.1629431', '55.2349839')"
2,2,52.22977,21.011779999999998,Warsaw,Masovian Voivodeship,Warszawa,PL,"('25.00439', '55.164486')"
3,3,21.542379999999998,39.19797,Jeddah,Makkah,,SA,"('25.2739402', '55.3261097')"
4,4,30.06263,31.249670000000002,Cairo,Muhafazat al Qahirah,,EG,"('25.5049456', '56.3622791')"
5,5,24.46667,54.36666999999999,Abu Dhabi,Abu Dhabi,,AE,"('36.4283192', '6.1235425')"
6,6,25.0657,55.17128,Dubai,Dubai,,AE,"('53.797025', '-1.7561719')"
7,7,28.4601,77.02635,Gurgaon,Haryana,Gurgaon,IN,"('49.0200931', '2.4641401')"
8,8,19.07283,72.88261,Mumbai,Maharashtra,Mumbai Suburban,IN,"('25.2839885', '55.3518764')"
9,9,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('-34.1313362', '18.3823133')"
10,10,55.788740000000004,49.12214,Kazan,Tatarstan,Gorod Kazan',RU,"('21.6161345', '39.1658145')"
11,11,12.97194,77.59369000000001,Bangalore,Karnataka,Bangalore Urban,IN,"('25.1185015', '55.1986146')"
12,12,52.229040000000005,21.01644,Srodmiescie,Masovian Voivodeship,Warszawa,PL,"('50.5637393', '4.2809545')"
13,13,53.79391,-1.75206,Bradford,England,Bradford,GB,"('25.2363805', '55.3060188')"
14,14,54.357659999999996,19.68029,Frombork,Warmian-Masurian Voivodeship,Powiat braniewski,PL,"('25.1452773', '55.2241378')"
15,15,25.41111,55.43504,Ajman,Ajman,,AE,"('51.7806797', '19.448017')"
16,16,21.27028,40.41583,Ta'if,Makkah,,SA,"('19.8642907', '41.5646964')"
17,17,25.0657,55.17128,Dubai,Dubai,,AE,"('19.15994', '72.834846')"
18,18,26.415979999999998,85.04665,Chakia,Bihar,Purba Champaran,IN,"('24.3330058', '54.5378993')"
19,19,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.0457433', '55.1313629')"
20,20,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('26.9095463', '75.7735741')"
21,21,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('19.1419361', '72.841898')"
22,22,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('30.0410728', '31.4755124')"
23,23,21.542379999999998,39.19797,Jeddah,Makkah,,SA,"('25.6681389', '55.7595073')"
24,24,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('40.4574942', '-3.6943243')"
25,25,25.0657,55.17128,Dubai,Dubai,,AE,"('22.5065169', '42.4724578')"
26,26,37.323,-122.03218000000001,Cupertino,California,Santa Clara County,US,"('25.2057667', '55.2431198')"
27,27,25.0657,55.17128,Dubai,Dubai,,AE,"('25.0466634', '55.130229')"
28,28,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2142479', '55.2508707')"
29,29,50.06143,19.93658,Krakow,Lesser Poland Voivodeship,Krakow,PL,"('25.2460712', '55.3051624')"
30,30,25.0657,55.17128,Dubai,Dubai,,AE,"('24.817931', '120.965109')"
31,31,26.434420000000003,50.10326,Dammam,Eastern Province,,SA,"('25.256913', '55.2996114')"
32,32,25.0657,55.17128,Dubai,Dubai,,AE,"('25.9436748', '56.1424297')"
33,33,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('8.3900534', '98.460331')"
34,34,51.27904,1.07992,Canterbury,England,Kent,GB,"('9.5909269', '76.5322047')"
35,35,19.1164,72.90471,Powai,Maharashtra,Mumbai Suburban,IN,"('43.44441', '11.08')"
36,36,52.22977,21.011779999999998,Warsaw,Masovian Voivodeship,Warszawa,PL,"('38.7053945', '-9.4276155')"
37,37,19.1164,72.90471,Powai,Maharashtra,Mumbai Suburban,IN,"('53.7967094', '-1.7850689')"
38,38,55.08651999999999,-1.58598,Cramlington,England,Northumberland,GB,"('40.4595609', '-3.6979429')"
39,39,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('18.5213939', '73.8412148')"
40,40,21.542379999999998,39.19797,Jeddah,Makkah,,SA,"('21.5653966', '39.2114419')"
41,41,18.5635,73.85205,Khadki,Maharashtra,Pune Division,IN,"('5.8614915', '72.9884181')"
42,42,25.0657,55.17128,Dubai,Dubai,,AE,"('19.159219', '72.835062')"
43,43,35.8044,51.4256,Tajrish,Tehran,,IR,"('25.2191085', '55.3170406')"
44,44,36.3163,74.6786,Barishal,Gilgit-Baltistan,,PK,"('7.9892524', '98.5667888')"
45,45,28.635759999999998,77.22445,New Delhi,NCT,New Delhi,IN,"('-25.984202', '28.123749')"
46,46,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.207034', '55.2542092')"
47,47,25.116410000000002,56.341409999999996,Al Fujayrah,Al Fujayrah,,AE,"('28.698204', '77.1922297')"
48,48,25.0657,55.17128,Dubai,Dubai,,AE,"('24.8346641', '55.3754896')"
49,49,21.42664,39.82563,Mecca,Makkah,,SA,"('26.3072117', '50.1783499')"
50,50,25.0657,55.17128,Dubai,Dubai,,AE,"('25.082604', '55.1374519')"
51,51,25.0657,55.17128,Dubai,Dubai,,AE,"('22.309714', '73.1832301')"
52,52,25.0657,55.17128,Dubai,Dubai,,AE,"('24.9025856', '67.0307588')"
53,53,25.0657,55.17128,Dubai,Dubai,,AE,"('6.5801012', '3.3586159')"
54,54,29.61968,-95.63495,Sugar Land,Texas,Fort Bend County,US,"('25.078944', '55.1491058')"
55,55,21.42664,39.82563,Mecca,Makkah,,SA,"('25.197197', '55.2743764')"
56,56,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('48.2062035', '16.3828251')"
57,57,24.46667,54.36666999999999,Abu Dhabi,Abu Dhabi,,AE,"('10.2129', '76.2024144')"
58,58,10.2,76.4,Angamali,Kerala,Ernakulam,IN,"('25.0458456', '55.1214118')"
59,59,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('21.2146155', '72.7854401')"
60,60,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.0852791', '55.1481184')"
61,61,21.542379999999998,39.19797,Jeddah,Makkah,,SA,"('25.2672977', '55.3323357')"
62,62,18.530170000000002,73.85263,Shivaji Nagar,Maharashtra,Pune Division,IN,"('25.2985471', '55.3722355')"
63,63,27.351340000000004,35.69014,Duba,Mintaqat Tabuk,,SA,"('19.2287635', '72.8551093')"
64,64,19.23496,72.85976,Borivli,Maharashtra,Mumbai Suburban,IN,"('25.149855', '55.226757')"
65,65,51.51279,-0.09183999999999999,City of London,England,Greater London,GB,"('25.141469', '55.190778')"
66,66,24.68773,46.72185,Riyadh,Ar Riyad,,SA,"('8.5466845', '76.9448945')"
67,67,19.1164,72.90471,Powai,Maharashtra,Mumbai Suburban,IN,"('21.559795', '39.1346932')"
68,68,25.0657,55.17128,Dubai,Dubai,,AE,"('7.9913854', '98.4153841')"
69,69,25.0657,55.17128,Dubai,Dubai,,AE,"('51.5949688', '-0.3827337')"
70,70,50.086999999999996,14.42024,Stare Mesto,Praha,Praha 1,CZ,"('24.8303133', '121.0145859')"
71,71,19.07283,72.88261,Mumbai,Maharashtra,Mumbai Suburban,IN,"('25.2723244', '55.3807064')"
72,72,23.166970000000003,79.95006,Jabalpur,Madhya Pradesh,Jabalpur,IN,"('24.7205824', '46.7703696')"
73,73,24.68773,46.72185,Riyadh,Ar Riyad,,SA,"('51.5321604', '-0.105287')"
74,74,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('30.0391947', '31.2203162')"
75,75,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2773752', '55.3387061')"
76,76,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('52.2309721', '21.1053866')"
77,77,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.3756995', '55.4774798')"
78,78,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('24.6114397', '46.7152685')"
79,79,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('24.4764377', '54.3715708')"
80,80,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2706653', '55.3190355')"
81,81,-33.91799,25.57007,Port Elizabeth,Eastern Cape,Nelson Mandela Bay Metropolitan Municipality,ZA,"('25.3062905', '55.3667273')"
82,82,36.63888,2.76845,Kolea,Tipaza,,DZ,"('27.1701795', '49.5412571')"
83,83,29.36972,47.97833,Kuwait City,Al Asimah,,KW,"('50.8173135', '19.1347889')"
84,84,18.62292,73.80696,Pimpri,Maharashtra,Pune Division,IN,"('18.5636998', '73.9091822')"
85,85,29.816670000000002,31.05,Madinat Sittah Uktubar,Al Jizah,,EG,"('19.08084', '72.8381502')"
86,86,54.60814,18.8013,Hel,Pomeranian Voivodeship,Powiat pucki,PL,"('1.2863954', '103.8543217')"
87,87,30.06263,31.249670000000002,Cairo,Muhafazat al Qahirah,,EG,"('25.264223', '55.2870533')"
88,88,21.542379999999998,39.19797,Jeddah,Makkah,,SA,"('25.2343442', '55.4747678')"
89,89,25.0657,55.17128,Dubai,Dubai,,AE,"('25.1060587', '55.1482584')"
90,90,38.07438,23.81106,Kifisia,Attica,Nomarchia Athinas,GR,"('25.207603', '55.2781')"
91,91,8.88113,76.58469000000001,Kollam,Kerala,Kollam,IN,"('24.7797191', '121.005421')"
92,92,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('10.1077301', '76.3595841')"
93,93,25.0657,55.17128,Dubai,Dubai,,AE,"('24.9126004', '55.0104895')"
94,94,52.5,-1.91667,Hockley,England,City and Borough of Birmingham,GB,"('25.3236018', '55.388444')"
95,95,13.08784,80.27847,Chennai,Tamil Nadu,Chennai,IN,"('25.2474977', '55.3635188')"
96,96,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('53.8094933', '21.9490009')"
97,97,25.0657,55.17128,Dubai,Dubai,,AE,"('21.4360938', '39.8110118')"
98,98,25.0657,55.17128,Dubai,Dubai,,AE,"('25.2463302', '55.3385009')"
99,99,52.244240000000005,21.08545,Praga Poludnie,Masovian Voivodeship,Warszawa,PL,"('25.2626528', '51.6137736')"
100,100,18.439970000000002,73.77545,Kharakvasla,Maharashtra,Pune Division,IN,"('25.236964', '55.271794')"
101,101,21.542379999999998,39.19797,Jeddah,Makkah,,SA,"('25.2624278', '55.2882355')"
102,102,12.9184,79.13255,Vellore,Tamil Nadu,Vellore,IN,"('25.2607301', '55.3299839')"
103,103,24.9424,67.2066,Malir Cantonment,Sindh,,PK,"('38.0146039', '23.8213195')"
104,104,18.62292,73.80696,Pimpri,Maharashtra,Pune Division,IN,"('25.2620843', '55.3205643')"
105,105,35.7214,51.108999999999995,Shahr-e Qods,Tehran,,IR,"('40.7424396', '-74.0061439')"
106,106,21.19594,72.83023,Surat,Gujarat,Surat,IN,"('25.1214919', '56.3245051')"
107,107,18.62292,73.80696,Pimpri,Maharashtra,Pune Division,IN,"('25.2498764', '55.4536318')"
108,108,25.0657,55.17128,Dubai,Dubai,,AE,"('25.2090478', '55.277205')"
109,109,8.88113,76.58469000000001,Kollam,Kerala,Kollam,IN,"('24.9532473', '66.987151')"
110,110,52.22977,21.011779999999998,Warsaw,Masovian Voivodeship,Warszawa,PL,"('25.2604145', '55.3323654')"
111,111,-33.85395,18.49231,Sunset Beach,Western Cape,City of Cape Town,ZA,"('24.7367164', '46.7548209')"
112,112,26.427940000000003,67.863,Sehwan,Sindh,,PK,"('10.52259', '76.224689')"
113,113,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.1764892', '55.3879139')"
114,114,53.55,10.0,Altstadt,Hamburg,,DE,"('24.1494874', '120.6574858')"
115,115,25.0657,55.17128,Dubai,Dubai,,AE,"('25.3333132', '55.3710449')"
116,116,25.0657,55.17128,Dubai,Dubai,,AE,"('25.275856', '55.3324552')"
117,117,24.9056,67.0822,Karachi,Sindh,Karachi District,PK,"('24.4927147', '54.3811195')"
118,118,28.4601,77.02635,Gurgaon,Haryana,Gurgaon,IN,"('21.7238029', '73.1988144')"
119,119,21.542379999999998,39.19797,Jeddah,Makkah,,SA,"('41.8998058', '-87.6226078')"
120,120,38.68773,-9.14663,Cacilhas,Setubal,Almada,PT,"('24.2195418', '120.6515437')"
121,121,48.53695,9.2833,Metzingen,Baden-Wuerttemberg,Tuebingen Region,DE,"('25.0585254', '55.2926931')"
122,122,30.06263,31.249670000000002,Cairo,Muhafazat al Qahirah,,EG,"('25.2740893', '55.3297133')"
123,123,25.0657,55.17128,Dubai,Dubai,,AE,"('13.080495', '80.243286')"
124,124,25.0657,55.17128,Dubai,Dubai,,AE,"('19.0717355', '72.8576113')"
125,125,53.55,10.01667,Hamburg-Mitte,Hamburg,,DE,"('21.5611769', '39.143008')"
126,126,19.79344,-70.6884,Puerto Plata,Puerto Plata,Puerto Plata,DO,"('33.7115769', '73.0397898')"
127,127,25.0657,55.17128,Dubai,Dubai,,AE,"('19.1405337', '72.8439474')"
128,128,26.12259,85.39055,Muzaffarpur,Bihar,Muzaffarpur,IN,"('25.2536312', '55.3096035')"
129,129,25.0657,55.17128,Dubai,Dubai,,AE,"('51.529129', '-0.069809')"
130,130,25.04776,121.53185,Taipei,Taipei,,TW,"('47.5939784', '-122.243371')"
131,131,-25.74486,28.187829999999998,Pretoria,Gauteng,City of Tshwane Metropolitan Municipality,ZA,"('40.4621787', '-3.6911296')"
132,132,20.01288,41.46767,Al Bahah,Mintaqat al Bahah,,SA,"('1.3100082', '103.8553523')"
133,133,21.542379999999998,39.19797,Jeddah,Makkah,,SA,"('25.1268848', '55.2360622')"
134,134,21.542379999999998,39.19797,Jeddah,Makkah,,SA,"('-8.510182', '115.262988')"
135,135,24.46667,54.36666999999999,Abu Dhabi,Abu Dhabi,,AE,"('25.1159011', '55.2281903')"
136,136,-25.933120000000002,28.01213,Diepsloot,Gauteng,City of Johannesburg Metropolitan Municipality,ZA,"('19.92583', '41.61131')"
137,137,24.46667,54.36666999999999,Abu Dhabi,Abu Dhabi,,AE,"('24.488253', '54.363399')"
138,138,10.6484,76.07063000000001,Kunnamkulam,Kerala,Thrissur District,IN,"('21.5749269', '39.1273644')"
139,139,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('-26.0536743', '28.0236449')"
