lat,lon,name,admin1,admin2,cc,coord_tuple
25.0657,55.17128,Dubai,Dubai,,AE,"('25.1964944', '55.2783687')"
26.21536,50.5832,Manama,Manama,,BH,"('26.214221', '50.610556')"
13.69347,100.5022,Bang Kho Laem,Bangkok,,TH,"('13.7049795', '100.49156')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.04168', '55.1184893')"
18.5635,73.85205,Khadki,Maharashtra,Pune Division,IN,"('18.5494858', '73.9008672')"
43.75547,15.74444,Tribunj,Sibensko-Kniniska,,HR,"('43.6886934', '15.7073318')"
31.5084,31.84106,`Izbat al Burj,Muhafazat ad Daqahliyah,,EG,"('31.5129546', '31.8351656')"
41.20972,69.33417,Bektemir,Toshkent Shahri,,UZ,"('41.2942588', '69.3216088')"
10.10468,76.3565,Aluva,Kerala,Ernakulam,IN,"('10.1083876', '76.3692284')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2735226', '55.3318901')"
57.87096,11.98054,Kungalv,Vaestra Goetaland,Kungalvs Kommun,SE,"('57.8581787', '11.9173927')"
24.46667,54.36667,Abu Dhabi,Abu Dhabi,,AE,"('24.4888331', '54.3627764')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.1181005', '55.2005963')"
12.91723,74.85603,Mangalore,Karnataka,Dakshina Kannada,IN,"('12.87354', '74.851636')"
22.29941,73.20812,Vadodara,Gujarat,Vadodara,IN,"('22.3001401', '73.2106906')"
41.20972,69.33417,Bektemir,Toshkent Shahri,,UZ,"('41.2587333', '69.3539583')"
21.45388,91.96765,Cox's Bazar,Chittagong,,BD,"('21.3548905', '92.0262553')"
52.69917,6.75556,Dalen,Drenthe,Gemeente Coevorden,NL,"('52.7542736', '6.7181913')"
35.19278,128.08472,Chinju,Gyeongsangnam-do,,KR,"('35.5339103', '128.0388403')"
17.38405,78.45636,Hyderabad,Telangana,Hyderabad,IN,"('17.3407229', '78.3731573')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.0809849', '55.1371904')"
36.74231,-5.16709,Ronda,Andalusia,Provincia de Malaga,ES,"('36.741563', '-5.165679')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.342399', '55.398785')"
10.06667,76.28333,Elur,Kerala,Ernakulam,IN,"('10.0301616', '76.3049154')"
24.68773,46.72185,Riyadh,Ar Riyad,,SA,"('24.7035593', '46.6914409')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.2016428', '55.2452567')"
35.4846,51.0829,Robat Karim,Tehran,,IR,"('35.3610285', '51.2056553')"
