text,class_simple,sent_score
visit this store on 5/9/2019 the asian older woman that worked there that day racial profiled me.,no_topic,
but overall it gets the job done when i need to pick something up quickly.,convenience,neutral
they do have sections up front for those quick buys (milk.,no_topic,neutral
 quality of products is okay,quality,neutral
i remembered old grocery stores in the neighborhood of sã£o paulo.,no_topic,neutral
capitol supermarket has been in the neighborhood for as long as i can remember!,repeat_visit,neutral
it is clear they no longer want to be a neighborhood grocery ,neighborhood,neutral
my neighborhood of clinton md,neighborhood,neutral
countertops and walkways adequately describe this neighborhood market.,neighborhood,neutral
this is a small neighborhood grocery - just one block from a somewhat larger neighborhood grocery.,neighborhood,neutral
no frills neighborhood market.,neighborhood,neutral
its my neighborhood store.,neighborhood,neutral
metered parking outside,parking,neutral
parking.,parking,neutral
it's on west end of parking lot.,parking,neutral
parking lot provided.,parking,neutral
and the parking lot number.,parking,neutral
there is also a escalator located inside the store that goes to the second floor parking garage.,parking,neutral
as always.,no_topic,neutral
and amous people,staff,neutral
i always fear that i'm â€¦,no_topic,
usually visit this location when i need to grab a couple of last minute items after work ,repeat_visit,neutral
recently renovated,location,neutral
it's a major improvement over the old giant that used to be there.,location,good
(baking mold),no_topic,neutral
after my last purchase i'm done.,no_topic,neutral
a bodega in the heart of mount pleasant.,no_topic,neutral
food.,no_topic,neutral
need $5 or more for credit card purchase.,no_topic,neutral
needs our support.,no_topic,neutral
our dollars.,no_topic,neutral
to make it better.,no_topic,neutral
itâ€™s a bodega on steroids.,no_topic,neutral
so asian and latin â€¦,ethnic_selection,neutral
it's a grocery store.,no_topic,neutral
considering how small the establishment is.,layout,neutral
avocados.,no_topic,neutral
and eggs.,no_topic,neutral
an oasis in a food desert,no_topic,neutral
hadn't been in awhile so i came by recently.,no_topic,neutral
!,no_topic,neutral
if you've spent any time overseas.,no_topic,neutral
dried/canned goods.,no_topic,neutral
etc.. but then also cactus leaves.,no_topic,neutral
chicken feet.,no_topic,neutral
weird organ meats.,no_topic,neutral
sambal oelek in 1lb jars.,no_topic,neutral
a dozen â€¦,no_topic,neutral
they also have a butcher here.,offerings,neutral
so i picked up a little more than a pound of ground pork for $3.,price,neutral
from the outside your not sure what it is.,no_topic,neutral
but once inside.,no_topic,neutral
if you don't feel like paying whole foods prices for your food staples.,price,
basic necessities/exotic needs supermarket.,ethnic_selection,neutral
from every day stuff to asia food.,ethnic_selection,neutral
a place to buy grocery.,no_topic,neutral
this is a decent neighbourhood grocery store in shaw.,neighborhood,neutral
given its size.,layout,neutral
notably from latin america and east asia.,ethnic_selection,neutral
and non-western foods.,ethnic_selection,neutral
highly recommend.,no_topic,good
fit the bill.,no_topic,neutral
its difficult to find a grocery store in the downtown.,location,
but this place serves it right!,no_topic,neutral
though a small place.,no_topic,neutral
fruits and meat.,no_topic,neutral
in all.,no_topic,neutral
wasted more than $20 bucks :-(,no_topic,bad
even whole foods.,no_topic,neutral
for example.,no_topic,neutral
a bottle of san pellogrino is $2.29!,no_topic,neutral
.. not any evident reinvestment into â€¦,no_topic,neutral
i shop there myself.,no_topic,neutral
they have everything the big chains have.,no_topic,neutral
i used to go to the shaw giant despite this place being nearly equidistant.,convenience,neutral
when the giant closed and i started ,location,neutral
produce.,freshness,neutral
meats.,no_topic,neutral
and spices.,no_topic,neutral
especially for families.,family,neutral
used to work there and still go there every week,repeat_visit,neutral
wegmans is wegmans.,no_topic,neutral
just only you don't make country wheat bread any more.,no_topic,neutral
when will you open in arizona?,no_topic,neutral
despite the store being huge.,layout,neutral
for instance) so you don't have to go through the whole store to get the one in you â€¦,layout,neutral
food .,no_topic,neutral
bakery,offerings,neutral
breads..everything!!,no_topic,neutral
for value received.,no_topic,neutral
simple to complex/great.,no_topic,neutral
i was standing at a deli counter for a few minutes ,offerings,neutral
i have never been to a wegmans i don�t love.,repeat_visit,neutral
a gigantic size grocery store.,layout,neutral
they also have pharmacy.,offerings,neutral
the upstairs dining area just takes the cake.,offerings,neutral
while waiting for an employee to get the item i ordered from the back of store.,staff,neutral
but i actually prefer harris teeters.,no_topic,neutral
organics.,freshness,neutral
need more locations.,no_topic,neutral
i have one criticism.,no_topic,neutral
at your hot bar.,offerings,neutral
you have mac and cheese.,no_topic,neutral
.. you sprinkle cilantro or parsley on your mac & cheese.,no_topic,neutral
"my picky son hates the ""green stuff"" on it.",no_topic,neutral
he thinks its â€¦,no_topic,neutral
they have the large boxes of pocky and angelo pietro salad dressings.,ethnic_selection,neutral
this store also has frozen asian items.,ethnic_selection,neutral
i have been going here for about a year now,repeat_visit,neutral
i was asked to leave the self checkout lane at 8pm on a sunday night.,no_topic,neutral
i had about 30 â€¦,no_topic,neutral
more locations would be great.,no_topic,neutral
wegmans has a wide â€¦,no_topic,neutral
and icewine ðÿ‘ðÿ»,no_topic,neutral
wal-mart needs to learn from them.,no_topic,neutral
and quality of food.,quality,neutral
"if anyone is as old as i remembers a store named ""jewel t"".",no_topic,neutral
if you're a foodie and â€¦,no_topic,neutral
too.,no_topic,neutral
why donâ€™t you change the phone number if itâ€™s not available,no_topic,neutral
too!,no_topic,neutral
spices.,no_topic,neutral
and vegetables.,no_topic,neutral
bad ambience,atmosphere,good
this is a nice clean place to shop also the prices are not bad,cleanliness,good
not bad.,no_topic,neutral
the deli/ buffett bar is always good when on a break from work or for a quick meal while shopping.,offerings,good
the cake i was looking for was sold out and he quickly prepared a fresh one for me.,freshness,good
it's quicker than fast food!,efficiency_of_service,good
quick stop shopping.,convenience,good
my go to sport for quick food items and gatorade,repeat_visit,good
great store for a quick visit as it's right around the corner.,convenience,good
quick service.,efficiency_of_service,good
good quick spot,efficiency_of_service,good
quick checkout.,efficiency_of_service,good
but line every other aldi the lines are quick,efficiency_of_service,good
quick checkout generally.,efficiency_of_service,good
the staff are so quick at check out!,efficiency_of_service,good
and also like how quick and efficient check out is.,efficiency_of_service,good
and move quickly.,efficiency_of_service,good
shopping here is quick since there aren't a ton of choices,efficiency_of_service,good
quick in and out.,efficiency_of_service,good
so shopping is a lot quicker.,efficiency_of_service,good
quick check out cashiers,efficiency_of_service,good
quickly found what i needed.,efficiency_of_service,good
fast quick and easy when you come here.,efficiency_of_service,good
great place to grab quick sandwiches and salads from the deli.,efficiency_of_service,good
that has nearly anything you need after work for a quick shopping.,efficiency_of_service,good
quick and easy.,efficiency_of_service,good
great for a quick shop.,efficiency_of_service,good
pretty good store workers tend to be very quick at the cashier good service,efficiency_of_service,good
quick stop shopping,efficiency_of_service,good
lines moved quickly,efficiency_of_service,good
knowledgeable and quick to aisist6.,efficiency_of_service,good
just a quick ice cream stop.,efficiency_of_service,good
good shopping spot for quick buys,efficiency_of_service,good
good for quick pick up.,efficiency_of_service,good
quick-to-make food than i remember.,efficiency_of_service,good
it's the best place to do a quick grocery run.,efficiency_of_service,good
quick check out.,efficiency_of_service,good
super organized and quick checkout!,efficiency_of_service,good
great for quick lunch.,efficiency_of_service,good
quick lunch at an reasonable price.,price,good
always fresh  food.,freshness,good
the staff has always been helpful.i love the quality of the meats and other items.,staff,good
always and ever good quality,quality,good
fresh produce is good quality for the price.,freshness,good
quality fresh produce.,freshness,good
good quality fresh produce great customer service,freshness,good
everythings fresh and quality #1,freshness,good
amazing butcher shop best steak quality in town.,offerings,good
very good and quality,quality,good
quality  great!,quality,good
quality are good.,quality,good
good quality.,quality,good
haven't had an issue with quality.,quality,good
if you want high quality ,quality,good
they have good quality products.,quality,good
great quality.,quality,good
good quality products.,quality,good
i've never had any issues with the goods quality,quality,good
the food is pretty high quality.,quality,good
great quality meats and produce.,quality,good
unexpected quality products.,quality,good
quality butcher and deli.,offerings,good
very trusted food and amazing quality,quality,good
wegmans brands are high quality.,quality,good
that your neighborhood alid's,neighborhood,good
have them in our neighborhood store good to have them,neighborhood,good
great neighborhood grocery store could be more clean!,cleanliness,good
great neighborhood treasure.,repeat_visit,good
one of my favorite neighborhood markets in dc.,repeat_visit,good
great local neighborhood.,neighborhood,good
quaint neighborhood grocery store with plenty of international items.,ethnic_selection,good
overall a great little neighborhood supermarket.,neighborhood,good
the neighborhood has flourished.,neighborhood,good
good spot for a neighborhood market.,neighborhood,good
little family-owned supermarket a vital shop for the dupont circle neighborhood.,neighborhood,good
 friendly neighborhood market.,neighborhood,good
great neighborhood store.,neighborhood,good
neighborhood grocery store go there all the time good ,neighborhood,good
i would recommend this store to others in the neighborhood.,neighborhood,good
neighborhood friendly.,neighborhood,good
great neighborhood support!,neighborhood,good
a good little neighborhood market.,neighborhood,good
fantastic neighborhood grocery store/deli that has just about anything you could ever want!,neighborhood,good
nice neighborhood shop.,neighborhood,good
i live in the neighborhood and can find pretty much anything i need here.,neighborhood,good
nice neighborhood corner store .,neighborhood,good
great neighborhood corner store.,neighborhood,good
wonderful little neighborhood market.,neighborhood,good
this is the best neighborhood meat market on the planet!,neighborhood,good
awesome for.the neighborhood.,neighborhood,good
good location near neighborhoods.,neighborhood,good
this store is definitely the worse in the neighborhood.,neighborhood,good
always a dope vibe.,atmosphere,good
atmosphere is very nice,atmosphere,good
overall atmosphere very nice.,atmosphere,good
nice atmosphere.,atmosphere,good
friendly atmosphere.,atmosphere,good
and the atmosphere makes shopping there a pleasant experience.,atmosphere,good
great atmosphere ... ,atmosphere,good
good atmosphere.,atmosphere,good
good ambience.,atmosphere,good
 not too crowded.,crowded,good
it was not crowded either.,crowded,good
the store wasn't crowded.,crowded,good
parking is free and always available though you have to be careful as this parking lot has a one way in one way out set up.,parking,good
has good parking.,parking,good
has plenty of room as well as a large parking lot.,parking,good
plenty of parking.,parking,good
there is plenty of free parking.,parking,good
plenty of parking.,parking,good
great parking,parking,good
great parking.,parking,good
ample parking.,parking,good
parking space is enough,parking,good
overnight parking available,parking,good
also ample and free parking.,parking,good
also easy and free parking.i love this store.ðÿ‘œðÿ‘ðÿ‘,parking,good
lots parking,parking,good
lots of parking space & easy to get to.,parking,good
parking lot is handicapped accessible and parking is free.,parking,good
parking is free.,parking,good
easy parking on the lower level.,parking,good
plenty of parking and easy to find.,parking,good
ahh and the covered parking lot is also great,parking,good
lots of parking too.,parking,good
there's covered parking.,parking,good
parking space is good and enough.,parking,good
great prices on most items�,price,good
the fresh market is always clean and has very helpful people!,freshness,good
always fresh and so clean.,freshness,good
always clean and lines are usually speedy.,cleanliness,good
always clean and stocked.,cleanliness,good
store is always clean and very helpful and nice store workers,cleanliness,good
very nice and  clean and always someone there around to help.,cleanliness,good
it's always clean and customer service is a++.,cleanliness,good
always clean.,cleanliness,good
this place is always clean and have very friendly staff.,cleanliness,good
have good & fresh meats & seafood�,freshness,good
best place to shop food is always freshðÿ˜šðÿ˜šðÿ˜šðÿ˜šðÿ˜š,freshness,good
staples like milk and eggs are always there and produce is fresh,freshness,good
i love shopping there i save a lot of money meat is always fresh,freshness,good
i like the vegetables and fruits here they are always fresh and the avocados tend to me cheaper in this location.,freshness,good
produce is always fresh.,freshness,good
they package meat in small portions always fresh.,freshness,good
best butcher meat around always fresh,freshness,good
but cheap,price,good
have good selection & fresh meats & seafood....,selection,good
they put out & cut up meat & seafood right in the back of the store,freshness,good
that are always fresh.,freshness,good
i have frequented many fresh markets and i have always been thrilled.,freshness,good
but you can always count on the fresh market for very nice produce.,freshness,good
that's a good sign to me because that means they always get a fresh supply.,freshness,good
always good and fresh food and fruits.,freshness,good
always a great selection of fresh vegetables.,freshness,good
food in the restaurant section is always fresh.,freshness,good
produce is always fresh and it is always just fun shopping there.,freshness,good
they always have fresh fruit and meats.,freshness,good
the bread is always fresh and delicious.,freshness,good
but i've always been able to find what i've needed.,selection,good
i'm always surprised at how much they can pack into this store.,selection,good
this place always seem to have everything that i need.,selection,good
whatever you call it they will always take a moment to go look on the shelf to see if they have it.,selection,good
nice lady working the register and friendly folks always.,staff,good
always stocked.,selection,good
always cheap.,price,good
good place to get the groceries if you want to save some money,price,good
always see my neighbors here in columbia heights going in and out.,neighborhood,good
aldi is always a great move.,repeat_visit,good
but i always found something new and delicious to try.,selection,good
always find a good deal,price,good
this is always a nice stop during mud day.,repeat_visit,good
love this location they are all so friendly and they make sure you always have a great experience when you shop there.,staff,good
always good prices.,price,good
aldi's always provides for the grocery needs at a great price.,price,good
always feel nice to stop at this store.,repeat_visit,good
always great prices,price,good
they are always stocking new products and the wine selection is great!,selection,good
the produce is always great.,freshness,good
always a pleasant experience here!,repeat_visit,good
always load up on vegetables.,freshness,good
what you may find is always a surprise but prices make the trip worthwhile.,price,good
i love aldi and so does everyone else apparently; ,repeat_visit,good
they are helpful and cheerful and always a delight.,staff,good
cheaper than other stores and always find what i needed,price,good
i have always experienced helpful service with a pleasing attitude.,staff,good
always low prices and fast check,price,good
love aldi's always found what i'm looking for,selection,good
i love this place they always have  what i need and when i need it ,selection,good
always had a great experience.,repeat_visit,good
always awesome,repeat_visit,good
great as always and money saving,price,good
aldi always has the best prices on produce and snacks.,price,good
.. they always have â€¦,selection,good
always great.,no_topic,good
it's always good.,no_topic,good
i love aldi and always look forward to seeing everyone on every saturday.,staff,good
aldi is always my first stop on a grocery run!,repeat_visit,good
...but helpful staff,staff,good
it's always a goodhaul and value!,price,good
the produce department is always amazing,freshness,good
