ratings,review_data,text,lat,long,name_of_loc,name_only,address_only,num_reviews,loc_type,avg_review,user_href,ID
 5 stars ,a month ago,"its good located near marina ,so we buy all stuffs before we go to our boat",25.0863571,55.1483218,"Spinneys Dubai Marina, Emaar Towers - Marina Walk - Dubai - United Arab Emirates",Spinneys Dubai Marina,Emaar Towers - Marina Walk - Dubai - United Arab Emirates,927,Supermarket,4.3,https://www.google.com/maps/contrib/108342359364611029730?hl=en-HU,0
 5 stars ,2 months ago,Best experience when it comes to supermarket shopping.... best display of things...superb staff service. Overall a 5 star experience for sure despite some things being pricey...though you get quality stuff it is a bit pricey,25.0863571,55.1483218,"Spinneys Dubai Marina, Emaar Towers - Marina Walk - Dubai - United Arab Emirates",Spinneys Dubai Marina,Emaar Towers - Marina Walk - Dubai - United Arab Emirates,927,Supermarket,4.3,https://www.google.com/maps/contrib/104050239268195458833?hl=en-HU,0
 5 stars ,3 weeks ago,Very nice store to shop for groceries. Even has meat section for non Muslim. Little bit on the pricey side.,25.0863571,55.1483218,"Spinneys Dubai Marina, Emaar Towers - Marina Walk - Dubai - United Arab Emirates",Spinneys Dubai Marina,Emaar Towers - Marina Walk - Dubai - United Arab Emirates,927,Supermarket,4.3,https://www.google.com/maps/contrib/102528932560123384201?hl=en-HU,0
 5 stars ,3 months ago,Fresh organic green leaves for salad only in spinneys and beautiful flowers too!!! 👍👍👍,25.0863571,55.1483218,"Spinneys Dubai Marina, Emaar Towers - Marina Walk - Dubai - United Arab Emirates",Spinneys Dubai Marina,Emaar Towers - Marina Walk - Dubai - United Arab Emirates,927,Supermarket,4.3,https://www.google.com/maps/contrib/102164753768602679494?hl=en-HU,0
 5 stars ,4 months ago,"My everyday grocery store. Fresh bread, fruit, meals. Great selection. Very clean.",25.0863571,55.1483218,"Spinneys Dubai Marina, Emaar Towers - Marina Walk - Dubai - United Arab Emirates",Spinneys Dubai Marina,Emaar Towers - Marina Walk - Dubai - United Arab Emirates,927,Supermarket,4.3,https://www.google.com/maps/contrib/100482460247621125651?hl=en-HU,0
 4 stars ,a month ago,Amazing place. There food is so nice,25.0863571,55.1483218,"Spinneys Dubai Marina, Emaar Towers - Marina Walk - Dubai - United Arab Emirates",Spinneys Dubai Marina,Emaar Towers - Marina Walk - Dubai - United Arab Emirates,927,Supermarket,4.3,https://www.google.com/maps/contrib/102595421153158698239?hl=en-HU,0
 5 stars ,a month ago,Nice place Near Marina mall,25.0863571,55.1483218,"Spinneys Dubai Marina, Emaar Towers - Marina Walk - Dubai - United Arab Emirates",Spinneys Dubai Marina,Emaar Towers - Marina Walk - Dubai - United Arab Emirates,927,Supermarket,4.3,https://www.google.com/maps/contrib/105256356589180710562?hl=en-HU,0
 4 stars ,3 months ago,Fresh vegetables and fruits food tasty fresh seafood good service,25.0863571,55.1483218,"Spinneys Dubai Marina, Emaar Towers - Marina Walk - Dubai - United Arab Emirates",Spinneys Dubai Marina,Emaar Towers - Marina Walk - Dubai - United Arab Emirates,927,Supermarket,4.3,https://www.google.com/maps/contrib/112830207504747318808?hl=en-HU,0
 4 stars ,2 months ago,"Spinneys is always a good store to get your groceries, no matter the location. You can find everything from pork to chocolates, dips and shops and so much more.  A bit pricey, but freshness is their best quality.  Parking is a bit hidden …",25.0863571,55.1483218,"Spinneys Dubai Marina, Emaar Towers - Marina Walk - Dubai - United Arab Emirates",Spinneys Dubai Marina,Emaar Towers - Marina Walk - Dubai - United Arab Emirates,927,Supermarket,4.3,https://www.google.com/maps/contrib/102310902057696688830?hl=en-HU,0
 4 stars ,a month ago,Nice market in Dubai marina,25.0863571,55.1483218,"Spinneys Dubai Marina, Emaar Towers - Marina Walk - Dubai - United Arab Emirates",Spinneys Dubai Marina,Emaar Towers - Marina Walk - Dubai - United Arab Emirates,927,Supermarket,4.3,https://www.google.com/maps/contrib/108993580401653123812?hl=en-HU,0
 1 star ,3 months ago,They don't accept visa card，only because my card has union pay shows on it. They don‘t even want to listen to me，I had used my credit card for long in dubai，if it charges from union pay how could I didn’t know？！They refuse listen nor just …,25.0863571,55.1483218,"Spinneys Dubai Marina, Emaar Towers - Marina Walk - Dubai - United Arab Emirates",Spinneys Dubai Marina,Emaar Towers - Marina Walk - Dubai - United Arab Emirates,927,Supermarket,4.3,https://www.google.com/maps/contrib/107483470313207589730?hl=en-HU,0
 5 stars ,5 months ago,"Spinneys Dubai marina is a place you can shop in comfort, the worker are very active and helpful, am so happy whenever I shop there,,,,,",25.0863571,55.1483218,"Spinneys Dubai Marina, Emaar Towers - Marina Walk - Dubai - United Arab Emirates",Spinneys Dubai Marina,Emaar Towers - Marina Walk - Dubai - United Arab Emirates,927,Supermarket,4.3,https://www.google.com/maps/contrib/108317768722319093748?hl=en-HU,0
 5 stars ,5 months ago,Good delicious food. There you will find a lot of specialities which are not available in Discounter. Good bread,25.0863571,55.1483218,"Spinneys Dubai Marina, Emaar Towers - Marina Walk - Dubai - United Arab Emirates",Spinneys Dubai Marina,Emaar Towers - Marina Walk - Dubai - United Arab Emirates,927,Supermarket,4.3,https://www.google.com/maps/contrib/109554979711655268368?hl=en-HU,0
