other_loc_name,other_loc_address
Roberta's Pizza,"230 Park Ave, New York, NY 10169, United States"
New West Inn,"Reimerswaalstraat 5, 1069 AE Amsterdam, Netherlands"
老黃豬腳大王,"300, Taiwan, Hsinchu City, North District, Beimen Street, 89號"
Fort Sheridan Forest Preserve,"1275 Gilgare Ln, Lake Forest, IL 60045, United States"
LionhearTV.net’s Den,"22D, 1550 Irid, Mandaluyong, 1550 Metro Manila, Philippines"
Al Shaikha Hind Bint Maktoum Bin Juma Al Maktoum Masjid - مسجد الشيخة هند بنت مكتوم بن جمعة آل مكتوم,6 25th St - Dubai
Gossip Café - Box Park,Box Park - Al Wasl Rd - Dubai
MyZeil,"Zeil 106, 60313 Frankfurt am Main, Germany"
Gopal Foods,"43-A, Block A, Kamla Nagar, Delhi, 110007, India"
Golden Tulip Nihal Palace Hotel,"40C Street, Near Deira Clock Tower Roundabout، Abu Baker Al Siddique Road, Deira - Dubai"
Sherwin-Williams Paint Store,"12215 S Cleveland Ave, Fort Myers, FL 33907, United States"
Al Manama,"Al Manama Mall، Shiekh Rashid Street, Opp. Lulu Hypermarket - Ajman"
Chay - Kofe,"Internatsional'naya Ulitsa, 24, Mineralnye Vody, Stavropol Krai, Russia, 357209"
Sanjha Chulha Restaurant,"Marathahalli Bridge, 1st Floor, Purva Riviera Complex, Marathahalli Near, Bengaluru, Karnataka 560037, India"
Steelcase,"Design House, Dubai Media City, PO Box 502596 - Dubai"
Ristorante La Gardèla,"Via Ponte Marino, 3, 48121 Ravenna RA, Italy"
Bistro Verde,"Unit 1-2 The Green, Aberdeen AB11 6NY, United Kingdom"
ملعب العاصمة,الحمراء وأم الجود،، Mecca Saudi Arabia
Antheia - a residential project by Mahindra Lifespaces,"Pimpri-Bhosari Road, Kharalwadi,, Pimpri Pimpri-Chinchwad, Pune, Maharashtra 411018, India"
Manoly Pasta and Pizza Station,"3,haneen ebn eshaq, Nasr City, Cairo Governorate, Egypt"
Phoenician Marble,Sharjah
Eden Beach Club,"Palm Jumeirah, East Crescent - Dubai"
Euro Tech Gas LLC,2 5a St - Dubai
Vac's Pastries,"116/A, Road Number 10, Sravanthi Nagar, ICRISAT Colony, Jubilee Hills, Hyderabad, Telangana 500048, India"
800° Degrees Neapolitan Pizzeria,Qatar
Mishref Park,Kuwait
Incorplan Incorporações e Loteamentos,"Av. Brasil, 4367 - Zona I, Umuarama - PR, 87501-220, Brazil"
Marche Airport,"Piazzale Sordoni snc, 60015, 60015 Falconara Marittima AN, Italy"
MLR Convention Centre,"JP Nagar 7th Phase, 7th Phase J.P. Nagar, Bengaluru, Karnataka 560078, India"
Pearl Coast Premier Apartments,"AI Barsha I,Near Mall of the Emirates - Dubai"
Hp Pump Aramghar Road,"6-4-5/1/A, NH 44, Netaji Nagar, Katedan Industrial Area, Hyderabad, Telangana 500052, India"
iBELL,"IV/408, Ideal House Fidas Building, Thottumugham, Aluva, Kerala 683105, India"
Leonardo Hotel Amsterdam Rembrandtpark,"Staalmeesterslaan 410, 1057 PH Amsterdam, Netherlands"
Villa Fayrouz Restaurant,"Shaab، Al Bahari، Kuwait City, Kuwait"
Imperial Restaurant,"Number. 42/5, Near Bowring Hospital, Opposite Busstand, Central St, Shivaji Nagar, Bengaluru, Karnataka 560001, India"
Shop&Go,"Gandijeva 193, Beograd, Serbia"
Thottumughom Mubarak Masjid,"Edayapuram South, Thottumugham, Aluva, Kerala 683105, India"
Seven Seas Hotel,"12, Mangalam Place, Sector 3, Rohini, New Delhi, Delhi 110085, India"
Alrov Mamilla Avenue,"8, ALROV MAMILLA AVENUE, 9414904, Israel"
Star,"Strada Nicolae Bălcescu 62, Brașov 500019, Romania"
AlBasheer Mosque - مسحد البشير,Sharjah
كنيسة أيا صوفيا,"Fatih, Ayasofya Müzesi, 61040 Ortahisar/Trabzon, Turkey"
Nellara Restaurant LLC,Dubai
French Bakery,"Umm Suqeim 3, Aswaaq Supermarket, Next to King's Dubai School - Dubai"
Water Canal Cruise Dubai,"Al Muteena Building, Al Muteena - Dubai"
Spinneys,Abu Dhabi
SPAR Koksijde,"Guido Gezelleplein 4, 8670 Koksijde, Belgium"
Cinnabon - Souk Madinat Jumeirah,"Souk Madinat Jumeirah, Level 1 - Dubai"
